23;04;2024;19
15;09;2024;15
17;06;2024;12
21;06;2024;14
12;08;2024;08
08;11;2024;23
18;01;2024;13
22;10;2024;03
11;02;2024;18
10;02;2024;06
30;08;2024;07
16;05;2024;16
05;03;2024;22
27;02;2024;11
20;11;2024;09
18;05;2024;17
29;12;2024;06
07;05;2024;19
19;05;2024;03
27;05;2024;05
02;03;2024;07
15;03;2024;18
10;11;2024;11
03;05;2024;20
26;06;2024;15
13;03;2024;22
08;08;2024;02
23;03;2024;12
04;10;2024;23
21;08;2024;22
17;08;2024;00
24;06;2024;12
03;02;2024;17
02;12;2024;11
30;10;2024;13
28;09;2024;03
14;05;2024;12
28;01;2024;02
24;08;2024;08
09;10;2024;18
26;03;2024;10
21;09;2024;04
12;09;2024;06
22;01;2024;06
16;08;2024;00
20;05;2024;00
11;08;2024;02
28;02;2024;23
15;07;2024;22
02;01;2026;12
04;01;2029;19
05;01;2025;16
01;02;2024;01
05;02;2026;16
07;09;2026;13
03;02;2025;01
06;04;2026;09
09;01;2027;16
